event_date,event_timestamp,event_name,event_previous_timestamp,event_server_timestamp_offset,user_id,user_first_touch_timestamp,platform,is_active_user
20230603,1.69E+15,1,1.69E+15,445416,19006,1.69E+15,1,0
20230528,1.69E+15,1,1.68E+15,252201,18058,1.68E+15,1,0
20230528,1.69E+15,2,1.69E+15,133697,18448,1.69E+15,1,0
20230617,1.69E+15,1,1.69E+15,184456,13109,1.68E+15,1,0
20230617,1.69E+15,3,1.69E+15,204055,5365,1.68E+15,1,0
20230617,1.69E+15,3,1.68E+15,254032,16764,1.68E+15,1,0
20230617,1.69E+15,1,1.69E+15,107248,16003,1.68E+15,1,0
20230715,1.69E+15,1,1.69E+15,433916,21831,1.69E+15,1,0
20230715,1.69E+15,4,,177676,1,1.69E+15,2,0
20230518,1.68E+15,3,1.68E+15,317969,15571,1.68E+15,1,0
20230518,1.68E+15,3,1.68E+15,547682,13671,1.68E+15,1,0
20230611,1.69E+15,1,1.69E+15,1204273,8405,1.68E+15,2,0
20230611,1.69E+15,1,1.69E+15,88434,19373,1.67E+15,2,0
20230611,1.69E+15,3,1.69E+15,215968,19643,1.69E+15,1,0
20230611,1.69E+15,1,1.69E+15,185560,16736,1.68E+15,1,0
20230604,1.69E+15,3,1.69E+15,161238,15581,1.68E+15,1,0
20230604,1.69E+15,1,1.68E+15,58657,2,1.67E+15,1,0
20230604,1.69E+15,1,1.69E+15,64789,5577,1.67E+15,2,0
20230529,1.69E+15,1,1.69E+15,72610,5577,1.67E+15,2,0
20230529,1.69E+15,3,1.69E+15,143536,16163,1.68E+15,1,0
20230529,1.69E+15,3,1.69E+15,230293,18519,1.69E+15,1,0
20230529,1.69E+15,1,1.69E+15,243842,3,1.69E+15,1,0
20230529,1.69E+15,1,1.69E+15,201088,17364,1.68E+15,1,0
20231115,1.7E+15,5,1.7E+15,406868,30313,1.7E+15,2,1
20231115,1.7E+15,1,1.7E+15,462327,39734,1.7E+15,2,1
20231115,1.7E+15,3,1.7E+15,231062,35653,1.7E+15,1,1
20230512,1.68E+15,2,1.68E+15,883,4912,1.67E+15,2,0
20230516,1.68E+15,3,1.68E+15,125402,6893,1.67E+15,1,0
20230516,1.68E+15,3,1.68E+15,424354,1358,1.68E+15,1,0
20230516,1.68E+15,1,1.68E+15,266638,4,1.68E+15,1,0
